ca335d67-8b94-425d-b651-b229a0448fd5,Anh Duy,Anh Duy,Anh Duy Tồ,Anh Duy Super Tồ,2025-02-14 17:00:21.104000 +00:00,2025-02-14 17:00:21.104000 +00:00
2be8d626-015e-4ef2-a43e-5c6cbceee7ff,Dàn nhạc giao hưởng Việt Nam,Nhạc trưởng Trần Vũ,Giao hưởng mùa xuân,Một đêm nhạc giao hưởng với những tác phẩm bất hủ,2025-02-15 06:52:11.873000 +00:00,2025-02-15 06:52:11.873000 +00:00
9d8236ed-a86d-4064-a108-d3bd6863e424,Nhóm vũ công Nhà hát lớn,Biên đạo múa Lê Thanh,Vũ điệu Hồ Thiên Nga,Một đêm ballet kinh điển với Hồ Thiên Nga,2025-02-15 06:52:12.055000 +00:00,2025-02-15 06:52:12.055000 +00:00
b3967bc2-7a86-4044-9581-4a88b94fd4a2,Đàm Vĩnh Hưng,Đạo diễn Phạm Hoàng,Liveshow Đàm Vĩnh Hưng,Đêm nhạc hoành tráng với Đàm Vĩnh Hưng,2025-02-15 06:52:12.187000 +00:00,2025-02-15 06:52:12.187000 +00:00
ff0460b5-b03f-4d63-9e60-abb535c6916b,Đoàn xiếc Trung Ương,Đạo diễn Nguyễn Lâm,Đêm hội Xiếc Việt,Chương trình xiếc đặc sắc với những màn biểu diễn đỉnh cao,2025-02-15 06:52:12.315000 +00:00,2025-02-15 06:52:12.315000 +00:00
366bda88-d22a-483c-a7c4-c21152bc2cb3,Dàn nhạc giao hưởng Hà Nội,Nhạc trưởng Hoàng Minh,Giai điệu mùa thu,Đêm nhạc cổ điển với những tác phẩm bất hủ.,2025-02-15 06:52:12.443000 +00:00,2025-02-15 06:52:12.443000 +00:00
3d4b5b84-ccc1-4388-a29a-c2ebac011655,"Ban nhạc Bức Tường, Microwave, Ngũ Cung",Đạo diễn Nguyễn Huy,Rock Storm 2025,Sự kiện rock bùng cháy với các ban nhạc hàng đầu.,2025-02-15 06:52:12.570000 +00:00,2025-02-15 06:52:12.570000 +00:00
8c1c4333-a2f9-4ef6-83da-7d2948989f42,Dàn nhạc giao hưởng Hà Nội,Nhạc trưởng Hoàng Minh,Giai điệu mùa thu,Đêm nhạc cổ điển với những tác phẩm bất hủ.,2025-02-15 06:52:12.697000 +00:00,2025-02-15 06:52:12.697000 +00:00
a6ddf04f-2626-4de7-88f2-0c4c11ab259b,"Ban nhạc Bức Tường, Microwave, Ngũ Cung",Đạo diễn Nguyễn Huy,Rock Storm 2025,Sự kiện rock bùng cháy với các ban nhạc hàng đầu.,2025-02-15 06:52:12.810000 +00:00,2025-02-15 06:52:12.810000 +00:00
6add4766-144f-4b99-bda7-3fcf2e1a86a6,Nhiều ca sĩ nổi tiếng,Đạo diễn Lê Phương,Đêm nhạc Trịnh Công Sơn,Hòa nhạc tôn vinh nhạc sĩ Trịnh Công Sơn với những ca khúc bất hủ.,2025-02-15 06:52:12.931000 +00:00,2025-02-15 06:52:12.931000 +00:00
